,Date,Total
0,2009-01-01,234280
1,2009-02-01,222799
2,2009-03-01,145746
3,2009-04-01,152539
4,2009-05-01,99749
5,2009-06-01,136388
6,2009-07-01,88716
7,2009-08-01,318462
8,2009-09-01,316264
9,2009-10-01,246264
10,2009-11-01,225958
11,2009-12-01,260258
12,2010-01-01,205268
13,2010-02-01,133379
14,2010-03-01,133215
15,2010-04-01,151872
16,2010-05-01,93874
17,2010-06-01,47821
18,2010-07-01,52999
19,2010-08-01,287318
20,2010-09-01,252735
21,2010-10-01,231456
22,2010-11-01,173039
23,2010-12-01,177222
24,2011-01-01,144661
25,2011-02-01,89619
26,2011-03-01,131207
27,2011-04-01,69675
28,2011-05-01,62831
29,2011-06-01,82470
30,2011-07-01,59435
31,2011-08-01,267104
32,2011-09-01,414571
33,2011-10-01,240163
34,2011-11-01,235832
35,2011-12-01,143095
36,2012-01-01,151874
37,2012-02-01,141312
38,2012-03-01,149644
39,2012-04-01,124188
40,2012-05-01,131574
41,2012-06-01,171222
42,2012-07-01,132421
43,2012-08-01,488816
44,2012-09-01,422979
45,2012-10-01,493596
46,2012-11-01,432962
47,2012-12-01,301661
48,2013-01-01,285188
49,2013-02-01,228010
50,2013-03-01,248793
51,2013-04-01,127574
52,2013-05-01,76376
53,2013-06-01,55239
54,2013-07-01,68614
55,2013-08-01,508655
56,2013-09-01,438332
57,2013-10-01,466840
58,2013-11-01,354707
59,2013-12-01,344377
60,2014-01-01,279310
61,2014-02-01,251203
62,2014-03-01,332357
63,2014-04-01,248311
64,2014-05-01,138969
65,2014-06-01,64723
66,2014-07-01,94401
67,2014-08-01,545672
68,2014-09-01,566427
69,2014-10-01,540633
70,2014-11-01,418021
71,2014-12-01,361877
72,2015-01-01,260260
73,2015-02-01,226132
74,2015-03-01,192451
75,2015-04-01,163921
76,2015-05-01,98776
77,2015-06-01,71577
78,2015-07-01,62507
79,2015-08-01,558273
80,2015-09-01,543660
81,2015-10-01,532283
82,2015-11-01,411762
83,2015-12-01,402794
84,2016-01-01,286712
85,2016-02-01,288632
86,2016-03-01,263698
87,2016-04-01,248840
88,2016-05-01,157654
89,2016-06-01,113113
90,2016-07-01,107119
91,2016-08-01,458135
92,2016-09-01,466307
93,2016-10-01,304463
94,2016-11-01,191549
95,2016-12-01,210699
96,2017-01-01,218502
97,2017-02-01,236796
98,2017-03-01,252909
99,2017-04-01,303984
100,2017-05-01,212156
101,2017-06-01,130500
102,2017-07-01,112328
103,2017-08-01,549308
104,2017-09-01,434913
105,2017-10-01,337157
106,2017-11-01,390188
107,2017-12-01,330748
108,2018-01-01,276898
109,2018-02-01,254185
110,2018-03-01,305653
111,2018-04-01,268310
112,2018-05-01,290478
113,2018-06-01,259762
114,2018-07-01,311073
115,2018-08-01,425297
116,2018-09-01,292138
117,2018-10-01,292159
118,2018-11-01,278994
119,2018-12-01,268406
