,Date,Total
0,2009-01-01,243020
1,2009-02-01,178127
2,2009-03-01,153197
3,2009-04-01,133156
4,2009-05-01,119847
5,2009-06-01,127553
6,2009-07-01,170748
7,2009-08-01,225285
8,2009-09-01,251094
9,2009-10-01,289705
10,2009-11-01,316054
11,2009-12-01,264982
12,2010-01-01,275478
13,2010-02-01,259704
14,2010-03-01,277067
15,2010-04-01,256390
16,2010-05-01,235438
17,2010-06-01,169000
18,2010-07-01,206743
19,2010-08-01,258193
20,2010-09-01,309262
21,2010-10-01,270985
22,2010-11-01,380482
23,2010-12-01,283470
24,2011-01-01,336123
25,2011-02-01,271118
26,2011-03-01,300225
27,2011-04-01,255074
28,2011-05-01,296968
29,2011-06-01,276340
30,2011-07-01,280672
31,2011-08-01,343550
32,2011-09-01,291871
33,2011-10-01,264039
34,2011-11-01,247333
35,2011-12-01,304085
36,2012-01-01,287808
37,2012-02-01,173483
38,2012-03-01,178262
39,2012-04-01,142502
40,2012-05-01,155775
41,2012-06-01,110676
42,2012-07-01,185141
43,2012-08-01,223303
44,2012-09-01,226427
45,2012-10-01,269398
46,2012-11-01,267904
47,2012-12-01,234763
48,2013-01-01,218902
49,2013-02-01,178471
50,2013-03-01,218331
51,2013-04-01,205857
52,2013-05-01,173137
53,2013-06-01,215447
54,2013-07-01,255902
55,2013-08-01,295454
56,2013-09-01,211851
57,2013-10-01,381531
58,2013-11-01,363249
59,2013-12-01,373650
60,2014-01-01,299188
61,2014-02-01,209868
62,2014-03-01,241176
63,2014-04-01,215622
64,2014-05-01,179460
65,2014-06-01,179851
66,2014-07-01,258649
67,2014-08-01,175360
68,2014-09-01,204409
69,2014-10-01,223397
70,2014-11-01,287944
71,2014-12-01,209714
72,2015-01-01,191258
73,2015-02-01,175948
74,2015-03-01,134224
75,2015-04-01,119230
76,2015-05-01,136767
77,2015-06-01,172852
78,2015-07-01,219664
79,2015-08-01,259664
80,2015-09-01,192948
81,2015-10-01,243496
82,2015-11-01,325268
83,2015-12-01,319077
84,2016-01-01,286963
85,2016-02-01,216404
86,2016-03-01,185765
87,2016-04-01,192568
88,2016-05-01,170516
89,2016-06-01,237679
90,2016-07-01,173637
91,2016-08-01,211319
92,2016-09-01,210382
93,2016-10-01,284827
94,2016-11-01,274155
95,2016-12-01,244688
96,2017-01-01,300633
97,2017-02-01,303992
98,2017-03-01,291030
99,2017-04-01,315503
100,2017-05-01,326891
101,2017-06-01,285874
102,2017-07-01,438242
103,2017-08-01,439416
104,2017-09-01,350770
105,2017-10-01,393512
106,2017-11-01,420199
107,2017-12-01,483237
108,2018-01-01,390266
109,2018-02-01,360471
110,2018-03-01,458754
111,2018-04-01,405534
112,2018-05-01,522145
113,2018-06-01,564547
114,2018-07-01,437368
115,2018-08-01,482940
116,2018-09-01,472256
117,2018-10-01,606114
118,2018-11-01,592690
119,2018-12-01,410078
