,Date,Total
0,2009-01-01,102666
1,2009-02-01,136652
2,2009-03-01,136524
3,2009-04-01,106523
4,2009-05-01,126189
5,2009-06-01,164994
6,2009-07-01,159879
7,2009-08-01,116721
8,2009-09-01,103621
9,2009-10-01,130869
10,2009-11-01,133366
11,2009-12-01,150504
12,2010-01-01,182327
13,2010-02-01,215225
14,2010-03-01,145615
15,2010-04-01,145226
16,2010-05-01,165570
17,2010-06-01,221997
18,2010-07-01,159116
19,2010-08-01,123851
20,2010-09-01,114543
21,2010-10-01,169970
22,2010-11-01,154252
23,2010-12-01,192833
24,2011-01-01,193368
25,2011-02-01,192459
26,2011-03-01,145780
27,2011-04-01,173017
28,2011-05-01,152627
29,2011-06-01,196171
30,2011-07-01,151104
31,2011-08-01,119172
32,2011-09-01,108204
33,2011-10-01,122680
34,2011-11-01,145244
35,2011-12-01,169047
36,2012-01-01,96259
37,2012-02-01,111976
38,2012-03-01,138795
39,2012-04-01,163125
40,2012-05-01,189477
41,2012-06-01,204673
42,2012-07-01,174122
43,2012-08-01,127651
44,2012-09-01,129889
45,2012-10-01,142483
46,2012-11-01,166824
47,2012-12-01,196201
48,2013-01-01,207627
49,2013-02-01,199375
50,2013-03-01,169370
51,2013-04-01,178183
52,2013-05-01,172756
53,2013-06-01,136487
54,2013-07-01,134467
55,2013-08-01,146511
56,2013-09-01,162767
57,2013-10-01,201520
58,2013-11-01,194373
59,2013-12-01,203613
60,2014-01-01,156737
61,2014-02-01,193966
62,2014-03-01,223825
63,2014-04-01,202970
64,2014-05-01,196572
65,2014-06-01,162555
66,2014-07-01,139706
67,2014-08-01,169773
68,2014-09-01,124224
69,2014-10-01,169970
70,2014-11-01,169732
71,2014-12-01,158353
72,2015-01-01,133772
73,2015-02-01,100030
74,2015-03-01,179005
75,2015-04-01,151014
76,2015-05-01,178219
77,2015-06-01,142276
78,2015-07-01,127988
79,2015-08-01,143114
80,2015-09-01,142749
81,2015-10-01,176541
82,2015-11-01,218267
83,2015-12-01,194433
84,2016-01-01,150463
85,2016-02-01,162564
86,2016-03-01,156049
87,2016-04-01,195007
88,2016-05-01,200802
89,2016-06-01,193970
90,2016-07-01,155085
91,2016-08-01,150233
92,2016-09-01,187981
93,2016-10-01,222589
94,2016-11-01,216328
95,2016-12-01,231443
96,2017-01-01,207467
97,2017-02-01,197466
98,2017-03-01,162457
99,2017-04-01,181775
100,2017-05-01,134537
101,2017-06-01,165312
102,2017-07-01,153576
103,2017-08-01,144026
104,2017-09-01,169504
105,2017-10-01,175574
106,2017-11-01,194180
107,2017-12-01,234018
108,2018-01-01,158483
109,2018-02-01,112396
110,2018-03-01,128497
111,2018-04-01,146133
112,2018-05-01,165863
113,2018-06-01,160464
114,2018-07-01,157312
115,2018-08-01,171814
116,2018-09-01,188085
117,2018-10-01,257977
118,2018-11-01,236181
119,2018-12-01,245491
