,Date,Total
0,2009-01-01,44347
1,2009-02-01,55140
2,2009-03-01,54814
3,2009-04-01,64139
4,2009-05-01,54201
5,2009-06-01,59939
6,2009-07-01,63494
7,2009-08-01,66045
8,2009-09-01,80798
9,2009-10-01,82382
10,2009-11-01,70807
11,2009-12-01,87026
12,2010-01-01,77552
13,2010-02-01,89380
14,2010-03-01,105844
15,2010-04-01,102793
16,2010-05-01,88816
17,2010-06-01,67768
18,2010-07-01,70250
19,2010-08-01,79311
20,2010-09-01,81948
21,2010-10-01,93675
22,2010-11-01,88653
23,2010-12-01,101709
24,2011-01-01,103354
25,2011-02-01,123221
26,2011-03-01,133896
27,2011-04-01,112875
28,2011-05-01,104515
29,2011-06-01,100541
30,2011-07-01,101080
31,2011-08-01,93659
32,2011-09-01,93712
33,2011-10-01,83154
34,2011-11-01,104168
35,2011-12-01,95781
36,2012-01-01,90551
37,2012-02-01,92728
38,2012-03-01,96889
39,2012-04-01,74607
40,2012-05-01,74138
41,2012-06-01,70026
42,2012-07-01,77292
43,2012-08-01,80943
44,2012-09-01,77683
45,2012-10-01,80490
46,2012-11-01,78105
47,2012-12-01,65456
48,2013-01-01,81113
49,2013-02-01,91070
50,2013-03-01,96808
51,2013-04-01,85865
52,2013-05-01,85659
53,2013-06-01,71318
54,2013-07-01,85700
55,2013-08-01,77028
56,2013-09-01,80731
57,2013-10-01,100415
58,2013-11-01,78186
59,2013-12-01,82449
60,2014-01-01,84027
61,2014-02-01,82090
62,2014-03-01,86652
63,2014-04-01,76436
64,2014-05-01,83653
65,2014-06-01,83398
66,2014-07-01,73987
67,2014-08-01,73432
68,2014-09-01,79960
69,2014-10-01,85089
70,2014-11-01,70870
71,2014-12-01,90306
72,2015-01-01,81303
73,2015-02-01,91953
74,2015-03-01,79062
75,2015-04-01,65842
76,2015-05-01,61759
77,2015-06-01,61468
78,2015-07-01,67357
79,2015-08-01,64643
80,2015-09-01,64300
81,2015-10-01,60926
82,2015-11-01,77136
83,2015-12-01,89959
84,2016-01-01,87566
85,2016-02-01,106455
86,2016-03-01,90320
87,2016-04-01,75591
88,2016-05-01,76013
89,2016-06-01,83192
90,2016-07-01,92768
91,2016-08-01,89244
92,2016-09-01,93907
93,2016-10-01,107466
94,2016-11-01,99732
95,2016-12-01,107663
96,2017-01-01,87228
97,2017-02-01,107859
98,2017-03-01,96863
99,2017-04-01,80043
100,2017-05-01,82825
101,2017-06-01,80080
102,2017-07-01,90963
103,2017-08-01,94536
104,2017-09-01,96551
105,2017-10-01,112433
106,2017-11-01,109171
107,2017-12-01,118467
108,2018-01-01,139055
109,2018-02-01,142939
110,2018-03-01,149773
111,2018-04-01,118270
112,2018-05-01,105752
113,2018-06-01,84933
114,2018-07-01,107534
115,2018-08-01,120688
116,2018-09-01,124059
117,2018-10-01,128389
118,2018-11-01,117818
119,2018-12-01,126953
