,Date,Total
0,2009-01-01,1730868
1,2009-02-01,1538201
2,2009-03-01,1491293
3,2009-04-01,1438640
4,2009-05-01,1672300
5,2009-06-01,1552680
6,2009-07-01,1569698
7,2009-08-01,1647458
8,2009-09-01,1469660
9,2009-10-01,1474649
10,2009-11-01,1803258
11,2009-12-01,1915703
12,2010-01-01,1841967
13,2010-02-01,1618148
14,2010-03-01,1765443
15,2010-04-01,1682225
16,2010-05-01,1501350
17,2010-06-01,1426259
18,2010-07-01,1345521
19,2010-08-01,1347510
20,2010-09-01,1435925
21,2010-10-01,1553409
22,2010-11-01,1734746
23,2010-12-01,1643150
24,2011-01-01,1766001
25,2011-02-01,1598742
26,2011-03-01,1780996
27,2011-04-01,1737259
28,2011-05-01,1773307
29,2011-06-01,1617424
30,2011-07-01,1559342
31,2011-08-01,1451543
32,2011-09-01,1331693
33,2011-10-01,1399516
34,2011-11-01,1437411
35,2011-12-01,1419883
36,2012-01-01,1580650
37,2012-02-01,1640167
38,2012-03-01,1596885
39,2012-04-01,1594784
40,2012-05-01,1043185
41,2012-06-01,1259882
42,2012-07-01,1356003
43,2012-08-01,1533951
44,2012-09-01,1511071
45,2012-10-01,1433383
46,2012-11-01,1487039
47,2012-12-01,1705729
48,2013-01-01,1803555
49,2013-02-01,1585891
50,2013-03-01,1620518
51,2013-04-01,1461716
52,2013-05-01,1295906
53,2013-06-01,1212123
54,2013-07-01,1366828
55,2013-08-01,1295109
56,2013-09-01,1138115
57,2013-10-01,1153880
58,2013-11-01,1086487
59,2013-12-01,1164056
60,2014-01-01,1089797
61,2014-02-01,1106673
62,2014-03-01,939217
63,2014-04-01,1099055
64,2014-05-01,1139141
65,2014-06-01,1013401
66,2014-07-01,1125703
67,2014-08-01,1148081
68,2014-09-01,1098387
69,2014-10-01,1260890
70,2014-11-01,1253439
71,2014-12-01,1289558
72,2015-01-01,1271728
73,2015-02-01,1134018
74,2015-03-01,1046808
75,2015-04-01,1117690
76,2015-05-01,1398677
77,2015-06-01,1266263
78,2015-07-01,1139833
79,2015-08-01,1053683
80,2015-09-01,1002816
81,2015-10-01,1203761
82,2015-11-01,1267441
83,2015-12-01,1398153
84,2016-01-01,1354981
85,2016-02-01,1336688
86,2016-03-01,1353701
87,2016-04-01,1148181
88,2016-05-01,1578158
89,2016-06-01,1348489
90,2016-07-01,1177624
91,2016-08-01,995671
92,2016-09-01,993851
93,2016-10-01,1062874
94,2016-11-01,1046913
95,2016-12-01,1060124
96,2017-01-01,1169601
97,2017-02-01,1091619
98,2017-03-01,928146
99,2017-04-01,1001942
100,2017-05-01,1246653
101,2017-06-01,1282085
102,2017-07-01,1314894
103,2017-08-01,1268754
104,2017-09-01,1317187
105,2017-10-01,1191932
106,2017-11-01,1283602
107,2017-12-01,1464903
108,2018-01-01,1330140
109,2018-02-01,1231970
110,2018-03-01,1249441
111,2018-04-01,945464
112,2018-05-01,1333575
113,2018-06-01,1189974
114,2018-07-01,1169089
115,2018-08-01,1183504
116,2018-09-01,1065583
117,2018-10-01,1170591
118,2018-11-01,1207407
119,2018-12-01,1172036
