"date","augaliniai_mean","augaliniai_lower.80.","augaliniai_lower.95.","augaliniai_upper.80.","augaliniai_upper.95.","kietaskuras_mean","kietaskuras_lower.80.","kietaskuras_lower.95.","kietaskuras_upper.80.","kietaskuras_upper.95.","maistas_mean","maistas_lower.80.","maistas_lower.95.","maistas_upper.80.","maistas_upper.95.","mediena_mean","mediena_lower.80.","mediena_lower.95.","mediena_upper.80.","mediena_upper.95.","nafta_mean","nafta_lower.80.","nafta_lower.95.","nafta_upper.80.","nafta_upper.95."
2019-01-01,268406,116896.151657786,36691.6827320303,419915.848342214,500120.31726797,438552.927911247,368774.575551513,331836.147094467,508331.280270981,545269.708728027,245491,206149.418959528,185323.243971064,284832.581040472,305658.756028936,124788.880774345,110744.360168063,103309.640056672,138833.401380627,146268.121492018,1157167.29104802,984729.794697736,893446.89811386,1329604.78739829,1420887.68398217
2019-02-01,268406,54138.7176413503,-59287.530076385,482673.28235865,596099.530076385,453185.042818078,367382.840945807,321961.898946827,538987.244690349,584408.186689329,245491,189853.602527364,160400.943406323,301128.397472636,330581.056593677,123346.175506257,105302.168241955,95750.2477842367,141390.182770559,150942.103228278,1132077.70575883,923332.370917427,812829.265641603,1340823.04060024,1451326.14587606
2019-03-01,268406,5983.24482423026,-132934.970349258,530828.75517577,669746.970349258,460703.895449207,366149.45394977,316095.356160005,555258.336948644,605312.43473841,245491,177349.382787814,141277.389580474,313632.617212186,349704.610419526,122384.399248326,101983.911924869,91184.5462763157,142784.886571782,153584.252220336,1122714.29456963,896248.224130598,776364.32808023,1349180.36500865,1469064.26105902
2019-04-01,268406,-34613.6966844279,-195022.634535939,571425.696684428,731834.634535939,464567.530012537,363919.241397995,310639.25580668,565215.818627078,618495.804218393,245491,166807.837919056,125155.487942127,324174.162080944,365826.512057873,121743.233245274,99714.7557809888,88053.5842096505,143771.71070956,155432.882280898,1120333.00907005,888546.428372405,765846.024323542,1352119.5897677,1474819.99381656
2019-05-01,268406,-70380.3201538742,-249722.964771134,607192.320153874,786534.964771134,466552.895702131,361001.507004826,305125.977014709,572104.284399436,627979.814389552,245491,157520.550451188,110951.807465676,333461.449548812,380030.192534324,121315.801355499,98043.4934381494,85723.8777985657,144588.109272849,156907.724912433,1116014.1619979,882971.909626703,759606.793146112,1349056.4143691,1472421.53084969
2019-06-01,268406,-102715.819444888,-299175.843403899,639527.819444888,835987.843403899,467573.094910106,357727.647339999,299578.9798925,577418.542480213,635567.209927712,245491,149124.200776491,98110.6987608397,341857.799223509,392871.30123916,121030.854836926,96737.2043697,83876.9226433872,145324.505304152,158184.787030465,1111695.31492575,877404.120492464,753377.854021264,1345986.50935903,1470012.77583023
2019-07-01,268406,-132451.37989061,-344652.458704167,669263.37989061,881464.458704167,468097.334061316,354307.175373858,294070.30399972,581887.492748774,642124.364122912,245491,141402.960382817,86302.0806026272,349579.039617183,404679.919397373,120840.895874132,95663.4152929491,82335.2621662876,146018.376455314,159346.529581976,1107376.46785359,871842.953916175,747159.043224778,1342909.98179101,1467593.89248241
2019-08-01,268406,-160128.564717299,-386981.06015277,696940.5647173,923793.06015277,468366.719378921,350855.84936882,288649.352396584,585877.589389023,648084.086361258,245491,134216.205054728,75310.8868126453,356765.794945272,415671.113187355,120714.260154114,94742.4728819881,80993.8391924564,146686.047426241,160434.681115772,1103057.62078144,866288.305652893,740950.201327768,1339826.93590999,1465165.04023511
2019-09-01,268406,-186123.545026642,-426736.951803909,722935.545026642,963548.951803909,468505.145608961,347433.154422106,283341.513771839,589577.136795817,653668.777446083,245491,127466.256878584,64987.731913191,363515.743121416,425994.268086809,120629.838733043,93924.7600374653,79787.9453166061,147334.917428622,161471.732149481,1098738.77370929,860740.074164153,734751.173040557,1336737.47325442,1462726.37437802
2019-10-01,268406,-210710.208708082,-464339.009037669,747522.208708082,1001151.00903767,468576.277255383,344067.507222376,278156.54574784,593085.04728839,658996.008762926,245491,121081.997160011,55223.8492472332,369900.002839989,435758.150752767,120573.559380467,93178.6143331973,78676.6064254095,147968.504427736,162470.512335524,1094419.92663714,855198.160520611,728561.807063767,1333641.69275366,1460278.04621051
2019-11-01,268406,-234095.318994774,-500103.448931225,770907.318994774,1036915.44893122,468612.828934362,340770.886934687,273095.450804875,596454.770934036,664130.207063849,245491,115009.737029395,45937.1287743741,375972.262970606,445044.871225626,120536.040875255,92483.4683715694,77633.3335171181,148588.61337894,163438.748233392,1090101.07956498,849662.46830913,722381.955946232,1330539.69082084,1457820.20318374
2019-12-01,268406,-256439.510351539,-534275.940698516,793251.510351539,1071087.94069852,468631.611365296,337546.855391729,268154.777238662,599716.367338863,669108.44549193,245491,109207.765575628,37063.7791609472,381774.234424372,453918.220839053,120511.029247209,91825.7680728835,76640.7080674983,149196.290421534,164381.350426919,1085782.23249283,844132.903544089,716211.475949345,1327431.56144157,1455352.98903632
